symbol,entry_time,exit_time,entry_price,exit_price,exit_pnl_pct,peak_pnl_pct,trough_pnl_pct,exit_reason,exit_reason_cat,n_portfolios,total_minutes_held,minutes_to_peak,live_config_id
RIVN,2026-03-10T14:59:30.945483+00:00,2026-03-10T19:23:35.016772+00:00,17.125,16.93000030517578,-1.1387,-0.2336,-2.4234,signal,vdd_signal,2,263,28,lc_ab8aa7f25745
CRWD,2026-03-10T15:13:10.382680+00:00,2026-03-10T19:23:36.418643+00:00,437.0725,436.6199951171875,-0.1035,0.5874,-1.3299,signal,vdd_signal,1,249,11,lc_d58c66d24787
LEU,2026-03-10T15:25:00.017656+00:00,2026-03-11T13:59:55.240721+00:00,201.335,202.6199951171875,0.6382,2.5356,-1.8055,signal,vdd_signal,2,552,158,lc_ab8aa7f25745
XOM,2026-03-10T15:30:18.828776+00:00,2026-03-11T18:16:53.361088+00:00,149.52,151.52490234375,1.3409,1.3443,-1.458,signal,vdd_signal,1,1032,815,lc_ab8aa7f25745
GD,2026-03-10T15:30:38.177138+00:00,2026-03-11T15:27:15.437598+00:00,359.62,355.7200012207031,-1.0845,0.1613,-2.2517,signal,vdd_signal,1,487,136,lc_72f6df86086e
DNTH,2026-03-10T15:30:38.198157+00:00,2026-03-11T13:59:58.047923+00:00,78.08,87.05000305175781,11.4882,13.4862,4.3801,signal,vdd_signal,1,393,258,lc_72f6df86086e
HPE,2026-03-10T15:46:16.768367+00:00,2026-03-11T14:54:41.926633+00:00,21.9,21.729999542236328,-0.7763,0.2511,-4.0639,signal,vdd_signal,1,529,0,lc_f8b535777d26
TMC,2026-03-10T15:47:40.256419+00:00,2026-03-11T14:15:27.620751+00:00,6.11,6.449999809265137,5.5646,6.7921,2.2913,signal,vdd_signal,1,467,104,lc_72f6df86086e
CDE,2026-03-10T15:47:40.276511+00:00,2026-03-11T13:32:17.995709+00:00,23.62,22.31,-5.5461,1.6511,-6.0542,alpaca_stop_fill (stop_price=22.44),alpaca_stop,1,468,23,lc_72f6df86086e
TDOC,2026-03-10T16:00:01.319609+00:00,2026-03-10T17:28:06.681844+00:00,5.62,5.684999942779541,1.1566,1.1566,-1.7794,signal,vdd_signal,2,87,30,lc_d58c66d24787
DOMO,2026-03-10T16:03:14.307914+00:00,2026-03-10T19:41:58.379496+00:00,4.27,4.400000095367432,3.0445,3.2787,-0.1171,signal,vdd_signal,1,158,48,lc_72f6df86086e
XGN,2026-03-10T16:03:53.092721+00:00,2026-03-10T16:46:41.040154+00:00,3.635,3.4532499999999997,-5.0,-0.2751,-7.0151,guard_stop,guard_stop,1,18,11,lc_f8b535777d26
LMT,2026-03-10T16:47:27.042494+00:00,2026-03-11T14:47:20.008416+00:00,656.865,652.614990234375,-0.647,0.3403,-1.6541,signal,vdd_signal,1,627,20,lc_f8b535777d26
INTU,2026-03-10T16:54:38.287649+00:00,2026-03-11T16:59:55.327122+00:00,456.54,439.8699951171875,-3.6514,0.7579,-4.4082,signal,vdd_signal,1,579,208,lc_f8b535777d26
GBTG,2026-03-10T17:28:40.742717+00:00,2026-03-11T17:05:19.494015+00:00,5.565,5.514999866485596,-0.8985,1.0782,-3.4142,signal,vdd_signal,2,374,22,lc_d58c66d24787
ULBI,2026-03-10T17:28:56.319917+00:00,2026-03-11T13:31:49.703771+00:00,6.08,5.776,-5.0,1.574,-6.7434,guard_stop,guard_stop,1,43,14,lc_f8b535777d26
DUK,2026-03-10T17:32:22.830310+00:00,2026-03-11T15:12:24.592892+00:00,130.3639,130.25999450683594,-0.0797,0.0891,-1.0309,signal,vdd_signal,1,352,20,lc_ab8aa7f25745
AAOI,2026-03-10T17:49:10.743183+00:00,2026-03-11T13:31:51.654913+00:00,122.69,116.5555,-5.0,1.4264,-5.1675,guard_stop,guard_stop,1,620,533,lc_d58c66d24787
AZO,2026-03-10T19:07:08.583937+00:00,2026-03-11T19:26:11.716975+00:00,3673.158,3715.68505859375,1.1578,1.1578,0.7218,signal,vdd_signal,1,367,89,lc_72f6df86086e
LW,2026-03-10T19:23:57.676536+00:00,2026-03-11T14:24:29.528650+00:00,46.01,43.69,-5.0424,-2.2821,-4.9663,alpaca_stop_fill (stop_price=43.71),alpaca_stop,1,150,48,lc_72f6df86086e
NIO,2026-03-10T19:38:40.164809+00:00,2026-03-11T18:28:52.960389+00:00,5.6413,5.5015997886657715,-2.4764,3.6109,-3.4797,signal,vdd_signal,2,809,514,lc_d58c66d24787
VRTX,2026-03-10T19:43:24.575868+00:00,2026-03-11T16:30:27.529397+00:00,498.09,494.5,-0.7208,1.5981,-1.8109,signal,vdd_signal,3,268,26,lc_ab8aa7f25745
DOMO,2026-03-10T19:56:42.974817+00:00,2026-03-11T14:39:02.354110+00:00,4.27,5.0906,19.2178,61.3583,2.5761,fractional_remainder_liquidated,cleanup,1,630,410,lc_72f6df86086e
MS,2026-03-11T08:02:18.551438+00:00,2026-03-11T16:42:41.991975+00:00,160.6792,159.31500244140625,-0.849,0.7411,-1.7265,signal,vdd_signal,2,270,21,lc_ab8aa7f25745
MOS,2026-03-11T08:14:57.156741+00:00,2026-03-11T17:34:25.612190+00:00,26.54,28.47279930114746,7.2826,7.5546,-0.2638,signal,vdd_signal,2,356,211,lc_d58c66d24787
NIO,2026-03-11T08:21:52.928457+00:00,2026-03-11T18:28:54.135187+00:00,5.55,5.5015997886657715,-0.8721,5.3153,-1.8919,signal,vdd_signal,1,527,232,lc_72f6df86086e
BA,2026-03-11T09:20:56.322238+00:00,2026-03-11T14:39:04.574868+00:00,224.015678,215.7089,-3.7081,-2.1988,-4.1139,fractional_remainder_liquidated,cleanup,1,225,112,lc_dd6b0b29a8ea
VNET,2026-03-11T09:28:24.406119+00:00,2026-03-11T18:33:31.185357+00:00,11.1,10.994999885559082,-0.9459,1.5315,-2.2522,signal,vdd_signal,2,323,5,lc_dd6b0b29a8ea
CTGO,2026-03-11T10:05:08.193900+00:00,2026-03-11T13:34:18.996521+00:00,27.44,26.068,-5.0,-1.3484,-5.6352,guard_stop,guard_stop,2,13,5,lc_dd6b0b29a8ea
TGT,2026-03-11T10:10:11.624267+00:00,2026-03-11T14:45:13.111663+00:00,122.5,120.13999938964844,-1.9265,-1.249,-2.7755,signal,vdd_signal,2,116,13,lc_dd6b0b29a8ea
TSLA,2026-03-11T10:12:25.134539+00:00,2026-03-11T18:54:18.704963+00:00,400.99,406.3399963378906,1.3342,3.5125,-0.5836,signal,vdd_signal,2,520,227,lc_dd6b0b29a8ea
PELI,2026-03-11T10:19:05.842860+00:00,2026-03-11T14:40:18.547442+00:00,10.29,10.288000106811523,-0.0194,-0.0194,-0.0972,signal,vdd_signal,2,66,65,lc_dd6b0b29a8ea
SERV,2026-03-11T13:34:18.726783+00:00,2026-03-11T15:31:19.975714+00:00,11.28,10.618697,-5.8626,2.5709,-5.5585,alpaca_stop_fill (stop_price=10.72),alpaca_stop,1,115,15,lc_dd6b0b29a8ea
SDHC,2026-03-11T13:35:09.420472+00:00,2026-03-11T13:43:07.861689+00:00,14.6,13.87,-5.0,-9.0069,-9.1781,guard_stop,guard_stop,1,1,0,lc_b14c0fdf3669
ACTG,2026-03-11T13:36:36.964647+00:00,2026-03-11T16:35:41.668902+00:00,4.72,4.929999828338623,4.4491,5.6186,-2.3305,signal,vdd_signal,1,149,55,lc_72f6df86086e
CVGI,2026-03-11T13:36:36.587840+00:00,2026-03-11T15:27:55.416202+00:00,2.344277,2.22,-5.3013,20.4039,-4.4482,alpaca_stop_fill (stop_price=2.23),alpaca_stop,3,109,15,lc_72f6df86086e
CXM,2026-03-11T13:36:56.749085+00:00,2026-03-11T15:12:51.992446+00:00,6.14,5.83,-5.0489,0.4886,-5.0489,alpaca_stop_fill (stop_price=5.83),alpaca_stop,2,94,3,lc_dd6b0b29a8ea
TSSI,2026-03-11T13:37:29.799531+00:00,2026-03-11T15:15:57.116731+00:00,13.4,12.69794,-5.2393,6.4888,-4.8672,alpaca_stop_fill (stop_price=12.73),alpaca_stop,2,96,16,lc_dd6b0b29a8ea
RNA,2026-03-11T13:40:15.376640+00:00,2026-03-11T15:05:42.464922+00:00,15.66,14.876999999999999,-5.0,0.6386,-4.917,guard_stop,guard_stop,2,59,6,lc_dd6b0b29a8ea
GRPN,2026-03-11T13:40:20.172283+00:00,2026-03-11T13:50:41.606275+00:00,11.49,10.9155,-5.0,0.4352,-4.9669,guard_stop,guard_stop,2,9,4,lc_dd6b0b29a8ea
